, Debt ratio %, Borrowing dependency, Liability to Equity, Net Income to Stockholder's Equity, Persistent EPS in the Last Four Seasons, ROA(C) before interest and depreciation before interest, Net worth/Assets, ROA(B) before interest and depreciation after tax, ROA(A) before interest and % after tax, Net Income to Total Assets,Bankrupt?
0,0.123318317864377,0.375462721687025,0.279518682001682,0.840567209045085,0.220289306986858,0.491590698581387,0.876681682135623,0.545318271856095,0.551079372001744,0.802577869345628,0
1,0.0692626296217916,0.36963718146295,0.276812010256355,0.841452545480326,0.22520563486811,0.52966411543899,0.930737370378208,0.571818619840463,0.572339729611862,0.8192215663649,0
2,0.106720682044925,0.37406924441323,0.278525194122531,0.840584630506906,0.220383851753805,0.485984497635646,0.893279317955075,0.530649392365758,0.547754034016572,0.803448350233752,0
3,0.0756719170420534,0.370307079446098,0.277064006304612,0.842019341795353,0.229649238914626,0.52532540340272,0.924328082957947,0.58150864607313,0.600141735717401,0.827648201966196,0
4,0.101188136771775,0.371834759988637,0.278231496442643,0.848339782558771,0.341212063912262,0.754643396870277,0.898811863228225,0.810268215643236,0.80925643262102,0.913615385577774,0
5,0.107355564289385,0.370930006285186,0.27856080390092,0.84118265494687,0.225016545334216,0.492614439623653,0.892644435710615,0.553348680336206,0.558929350196249,0.811635390618035,0
6,0.24358315445778,0.408288841221876,0.304871344475616,0.830394219160948,0.190224071097665,0.464827182762151,0.75641684554222,0.508378392847583,0.475359790667248,0.75817636684046,0
7,0.0943858270097046,0.373113046123427,0.277892081792766,0.840649731622796,0.204689420440579,0.444401111490274,0.905614172990295,0.498956046897585,0.549716528565198,0.804886952966321,0
8,0.142969434954802,0.376300373756103,0.280973011398155,0.839149491322545,0.207903942516782,0.458489738214791,0.857030565045198,0.509342041865196,0.520497165285652,0.786000051265299,0
9,0.0687184448408259,0.370373062719898,0.276791331987991,0.8418467741339,0.233620119126406,0.536050309559791,0.931281555159174,0.586433963274265,0.58264282599215,0.825788732670356,0
10,0.161471717507634,0.374443895205141,0.282721791729904,0.843423278552643,0.245721849295641,0.541071515624238,0.838528282492366,0.581990470581937,0.593709114696904,0.829212064564553,0
11,0.0215859963116365,0.36963718146295,0.275303346543249,0.841125083290724,0.227947433109577,0.50475308341052,0.978414003688364,0.548744579474276,0.568251199302224,0.817554030587781,0
12,0.182332134111316,0.369967097831946,0.28536871629864,0.842853082724684,0.243074595821121,0.525374152976161,0.817667865888684,0.567214518978532,0.581279982555604,0.819372872092831,0
13,0.0371557275448197,0.36963718146295,0.275735732402893,0.842610880288247,0.240332797579654,0.548432701213864,0.96284427245518,0.608544354622838,0.624236807675534,0.844256874873252,0
14,0.121806693472806,0.369722176866488,0.279420400354003,0.84397623171594,0.274936182282311,0.647345585726125,0.878193306527194,0.667273408640719,0.683820322721326,0.845905764501203,0
15,0.115064848686398,0.370571012541295,0.279003170331611,0.840916329124806,0.22322019476222,0.486081996782528,0.884935151313602,0.535414101397291,0.551079372001744,0.807491119561249,0
16,0.159839163164737,0.37126663281762,0.282549107274453,0.841335401983239,0.230689231351045,0.504509335543314,0.840160836835263,0.543872798329675,0.552278674225905,0.808833206025448,0
17,0.152583366085195,0.373290865454513,0.281825298738401,0.842546260757404,0.256027228892881,0.545117730219861,0.847416633914805,0.582204614808073,0.591474051460968,0.82219409714854,0
18,0.103546270822626,0.374341006032437,0.278355416153034,0.840236901140363,0.218871135482651,0.47389460342222,0.896453729177374,0.525617003051555,0.538377671173136,0.798701613580046,0
19,0.140883393294434,0.376140448194183,0.280799597138507,0.843831552985908,0.319750401815259,0.547750207185687,0.859116606705566,0.610150436318861,0.627180549498474,0.838855867264449,0
20,0.0232185506545334,0.36963718146295,0.275346204696819,0.840278652496913,0.216318426775078,0.479890800955492,0.976781449345467,0.534289844210076,0.538704753597907,0.800669111125753,0
21,0.186625147383378,0.378206060172272,0.286032872620209,0.842636239935237,0.235700103999244,0.511626773265734,0.813374852616622,0.554687081749558,0.569777583951156,0.816767360474103,0
22,0.107778819119025,0.373734854601942,0.278583010094313,0.840028651522915,0.214049352368346,0.476722078681811,0.892221180880975,0.523368488677124,0.534398168338421,0.79578808766754,0
23,0.0438975723312271,0.36963718146295,0.275938665976505,0.842451841582432,0.234660111562825,0.595622288304977,0.956102427668773,0.629637560897264,0.620202791103358,0.840099529313871,0
24,0.0751579647489192,0.371419848216103,0.277043617624713,0.842378810469995,0.245816394062589,0.537074050602057,0.924842035251081,0.587451148348413,0.599160488443088,0.833491135258212,0
25,0.112374157269402,0.373696830342464,0.278843430575735,0.838475692772979,0.204027607071949,0.443474869594891,0.887625842730598,0.500776272819744,0.50354339293502,0.775024789679103,0
26,0.184387943283853,0.382427871334853,0.285680003243756,0.841393698427968,0.22917651507989,0.496221908058304,0.815612056716147,0.542480860859789,0.558384212821631,0.807018531883967,0
27,0.0477068657979865,0.36963718146295,0.276058647434572,0.837942654411266,0.203838517538054,0.425876273582606,0.952293134202014,0.471224369612934,0.468491059747056,0.758122903505815,0
28,0.0812346948030353,0.37222954127086,0.277295301512901,0.842189187614804,0.236929185969557,0.522254180275923,0.918765305196965,0.577546977889609,0.589784125599651,0.82950579034283,0
29,0.0341022462738459,0.369717703424196,0.275646499316727,0.840044203509162,0.215278434338659,0.476234582947399,0.965897753726154,0.528347341934793,0.530909289140864,0.796024101706637,0
30,0.103757898237446,0.36963718146295,0.278365263543016,0.8377479149612,0.198827644889855,0.436601179739677,0.896242101762554,0.485839713046737,0.479502834714348,0.763869309638581,0
31,0.138827584121897,0.370771199083839,0.280636457403227,0.842862464444786,0.266143518956226,0.527762882074782,0.861172415878103,0.574067134214894,0.590220235499346,0.828302446975371,0
32,0.0723765758684282,0.369698691294458,0.276933128356418,0.842382118834893,0.230878320884939,0.520791693072686,0.927623424131572,0.584613737352107,0.598724378543393,0.834012889176959,0
33,0.121292741179672,0.373261788079618,0.279387962094401,0.843132879814501,0.255459960291198,0.546092721688685,0.878707258820328,0.593125970341025,0.608482337549062,0.835313665889027,0
34,0.0565952172204251,0.369993938485695,0.276353491398824,0.841279043786748,0.219154769783492,0.533710330034612,0.943404782779575,0.582900583543016,0.570268207588312,0.817492429843137,0
35,0.0669951930344348,0.370587787949889,0.276726586791482,0.841850065018958,0.260565377706344,0.541315263491444,0.933004806965565,0.578189410568018,0.587549062363716,0.826066675319877,0
36,0.0375185173987967,0.36963718146295,0.275746257245234,0.842526602008289,0.233052850524723,0.574074976843953,0.962481482601203,0.627228438353231,0.619603139991278,0.842609038777874,0
37,0.108897421168788,0.36963718146295,0.278646099515145,0.840115765432904,0.214805710503924,0.478574562472578,0.891102578831212,0.533219123079394,0.532544701264719,0.796975672891206,0
38,0.116213683223992,0.375580149547176,0.279072534129483,0.840577257454248,0.210551195991302,0.469165894798421,0.883786316776008,0.516141121045024,0.547863061491496,0.802978468940389,0
39,0.0983765154034525,0.370505029267496,0.278088563690144,0.841361048379004,0.226245627304529,0.502656851752547,0.901623484596548,0.551474918357514,0.563453990405582,0.814940240938562,0
40,0.163074039362699,0.37869254702147,0.282895009524665,0.845718192000204,0.319750401815259,0.607127187637108,0.836925960637301,0.637239680925103,0.647459659834278,0.851126385807986,0
41,0.167064727756447,0.37719953565669,0.28334993103848,0.844231573582482,0.254892691689515,0.585531126602642,0.832935272243553,0.61657476310295,0.626526384648932,0.835466101706018,0
42,0.0648184539105723,0.36963718146295,0.276645676476978,0.840746051572402,0.218209322114021,0.484717008726174,0.935181546089428,0.536163606188768,0.550534234627126,0.807804744900964,0
43,0.0449254769174955,0.36963718146295,0.275970746165672,0.839971036203921,0.213954807601399,0.480037049675815,0.955074523082504,0.530006959687349,0.528783253379852,0.794686646109087,0
44,0.29519001118602,0.954819351216665,1.0,0.442175535447606,0.112319183133214,0.393701555111393,0.704809988813979,0.450131163338509,0.422372437854339,0.717613798012775,1
45,0.109199746047102,0.375150699087194,0.278662062943649,0.840945065247797,0.208754845419306,0.476088334227076,0.890800253952898,0.518014883023716,0.561873092019189,0.808253822689768,0
46,0.161955437312936,0.379347906317172,0.282775565916261,0.840583335749087,0.218209322114021,0.497391897820894,0.838044562687064,0.544086942555811,0.553641517662451,0.801266444875499,0
47,0.15799498140702,0.376096832131841,0.282358317078688,0.839630599312234,0.213198449465822,0.47389460342222,0.84200501859298,0.52331495262059,0.526929786306149,0.791815048486686,0
